                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.77426,                 4.3568,                0.93268,                      0,                      0,                      0,                      0,                 1.4063,                 6.0711,                 1.2401,             1.3624e-05,             1.3624e-05,             1.3624e-05
                     51,                 1.0501,                 4.4446,                0.98043,                      0,                      0,                      0,                      0,                 1.4072,                 6.0651,                 1.2298,             1.3635e-05,             1.3635e-05,             1.3635e-05
                     52,                0.90382,                 4.2917,                0.95786,                      0,                      0,                      0,                      0,                  1.392,                  6.052,                 1.2186,             1.3635e-05,             1.3635e-05,             1.3635e-05
                     53,                0.93737,                 4.2951,                0.96519,                      0,                      0,                      0,                      0,                 1.3819,                 6.0397,                 1.2121,             1.3624e-05,             1.3624e-05,             1.3624e-05
                     54,                0.83223,                 4.2954,                0.95161,                0.00274,                0.00105,                0.00178,                0.00018,                 1.3791,                 6.0308,                  1.209,             1.3603e-05,             1.3603e-05,             1.3603e-05
                     55,                 1.1363,                  4.499,                0.98787,                0.00228,                0.00105,                0.00157,                0.00016,                  1.371,                 6.0157,                 1.1995,             1.3571e-05,             1.3571e-05,             1.3571e-05
                     56,                0.77672,                 3.8899,                0.94677,                0.00228,                0.00105,                0.00157,                0.00016,                 1.3599,                 6.0015,                 1.1922,             1.3528e-05,             1.3528e-05,             1.3528e-05
                     57,                0.88841,                 4.1551,                0.94189,                0.00228,                0.00105,                 0.0014,                0.00014,                 1.3513,                 5.9907,                 1.1854,             1.3475e-05,             1.3475e-05,             1.3475e-05
                     58,                 0.8953,                 4.0461,                 0.9212,                0.00228,                0.00105,                 0.0014,                0.00028,                  1.352,                 5.9882,                 1.1846,             1.3411e-05,             1.3411e-05,             1.3411e-05
                     59,                 1.0727,                 4.2859,                0.94399,                0.00171,                0.00105,                0.00114,                0.00023,                 1.3505,                 5.9909,                 1.1853,             1.3336e-05,             1.3336e-05,             1.3336e-05
                     60,                 0.8509,                  4.114,                0.92675,                0.00274,                0.00211,                0.00174,                0.00035,                 1.3521,                  5.984,                 1.1841,             1.3251e-05,             1.3251e-05,             1.3251e-05
                     61,                 1.0413,                 3.9972,                 1.0032,                0.00274,                0.00211,                0.00174,                0.00035,                  1.343,                 5.9945,                 1.1811,             1.3154e-05,             1.3154e-05,             1.3154e-05
                     62,                0.89161,                 4.1263,                0.93347,                0.00304,                0.00211,                0.00187,                0.00029,                 1.3476,                  5.999,                 1.1806,             1.3048e-05,             1.3048e-05,             1.3048e-05
                     63,                 1.0699,                 3.8337,                0.95521,                0.00304,                0.00211,                0.00178,                0.00027,                 1.3546,                 6.0033,                  1.185,              1.293e-05,              1.293e-05,              1.293e-05
                     64,                0.97564,                 4.0503,                0.97902,                0.00304,                0.00211,                0.00176,                0.00027,                 1.3572,                 6.0195,                 1.1866,             1.2802e-05,             1.2802e-05,             1.2802e-05
                     65,                  0.894,                 3.9558,                0.94198,                0.00304,                0.00211,                0.00178,                0.00036,                 1.3538,                 6.0241,                 1.1849,             1.2663e-05,             1.2663e-05,             1.2663e-05
                     66,                 1.1375,                 4.1043,                  1.159,                0.00243,                0.00667,                0.00162,                0.00045,                 1.3614,                 6.0057,                 1.1839,             1.2513e-05,             1.2513e-05,             1.2513e-05
                     67,                0.63521,                 3.8255,                0.95472,                0.00228,                0.00667,                0.00152,                0.00044,                 1.3537,                 5.9955,                 1.1785,             1.2353e-05,             1.2353e-05,             1.2353e-05
                     68,                0.94052,                 4.0274,                0.91994,                0.00228,                0.00667,                0.00154,                0.00045,                 1.3456,                 5.9921,                 1.1788,             1.2182e-05,             1.2182e-05,             1.2182e-05
                     69,                0.91308,                 3.7589,                0.93702,                0.00217,                0.00667,                0.00149,                0.00045,                 1.3337,                 5.9916,                 1.1771,                1.2e-05,                1.2e-05,                1.2e-05
                     70,                0.78668,                 3.9318,                0.91147,                0.00186,                0.00667,                 0.0013,                0.00042,                 1.3268,                 5.9858,                 1.1725,             1.1808e-05,             1.1808e-05,             1.1808e-05
                     71,                0.80906,                 3.6082,                0.92083,                0.00177,                0.00667,                0.00122,                0.00042,                  1.329,                   5.98,                 1.1733,             1.1605e-05,             1.1605e-05,             1.1605e-05
                     72,                0.83436,                 3.8456,                0.92362,                0.00169,                0.00667,                0.00124,                0.00041,                 1.3281,                 5.9673,                 1.1745,             1.1391e-05,             1.1391e-05,             1.1391e-05
                     73,                0.93599,                 3.7543,                0.98162,                0.00213,                0.00699,                0.00155,                0.00085,                 1.3224,                  5.964,                  1.171,             1.1166e-05,             1.1166e-05,             1.1166e-05
                     74,                0.87987,                 4.0053,                0.95752,                0.00213,                0.00699,                0.00162,                 0.0009,                 1.3215,                 5.9645,                 1.1694,             1.0931e-05,             1.0931e-05,             1.0931e-05
                     75,                 0.8415,                 3.6102,                0.93494,                0.00218,                0.00699,                0.00167,                0.00094,                 1.3219,                 5.9634,                 1.1658,             1.0685e-05,             1.0685e-05,             1.0685e-05
                     76,                 0.7764,                 3.8265,                0.88811,                0.00224,                0.00699,                0.00181,                0.00105,                  1.321,                 5.9585,                 1.1651,             1.0429e-05,             1.0429e-05,             1.0429e-05
                     77,                0.87811,                 3.6134,                0.97608,                0.00231,                0.00699,                0.00187,                0.00107,                  1.309,                 5.9574,                 1.1613,             1.0162e-05,             1.0162e-05,             1.0162e-05
                     78,                0.79118,                 3.5034,                 0.8787,                0.12572,                0.00594,                0.00135,                0.00094,                 1.3032,                 5.9531,                 1.1613,             9.8836e-06,             9.8836e-06,             9.8836e-06
                     79,                0.72612,                 3.2711,                0.92266,                0.22001,                0.00457,                0.00131,                0.00091,                 1.2994,                 5.9532,                 1.1579,             9.5949e-06,             9.5949e-06,             9.5949e-06
                     80,                0.86148,                 3.7911,                0.95477,                0.26113,                0.00457,                 0.0013,                0.00091,                 1.2943,                 5.9499,                 1.1547,             9.2956e-06,             9.2956e-06,             9.2956e-06
                     81,                0.77238,                 3.5118,                0.93586,                0.28849,                0.00457,                0.00116,                0.00081,                 1.2938,                 5.9459,                 1.1552,             8.9856e-06,             8.9856e-06,             8.9856e-06
                     82,                 0.9356,                 3.3587,                0.95033,                0.27483,                0.00457,                0.00113,                0.00073,                 1.2935,                 5.9384,                 1.1525,             8.6649e-06,             8.6649e-06,             8.6649e-06
                     83,                  1.086,                 3.7971,                0.98505,                0.27481,                0.00457,                0.00108,                0.00069,                 1.2872,                 5.9381,                 1.1464,             8.3335e-06,             8.3335e-06,             8.3335e-06
                     84,                0.83741,                 3.4312,                0.97821,                0.31598,                0.00457,                0.00131,                0.00083,                 1.2951,                 5.9298,                  1.153,             7.9914e-06,             7.9914e-06,             7.9914e-06
                     85,                0.90114,                 3.3561,                0.94551,                0.28853,                0.00457,                0.00117,                0.00075,                 1.2924,                 5.9227,                 1.1496,             7.6386e-06,             7.6386e-06,             7.6386e-06
                     86,                   1.01,                 3.9146,                0.95102,                0.34337,                0.00457,                0.00131,                0.00083,                 1.2982,                 5.9199,                 1.1529,             7.2752e-06,             7.2752e-06,             7.2752e-06
                     87,                0.78663,                 3.6029,                0.93058,                0.48059,                0.00457,                0.00143,                 0.0009,                 1.2981,                 5.9134,                 1.1526,              6.901e-06,              6.901e-06,              6.901e-06
                     88,                0.64336,                 3.1992,                0.93046,                0.45313,                0.00457,                0.00122,                0.00077,                 1.3046,                 5.9004,                  1.162,             6.5161e-06,             6.5161e-06,             6.5161e-06
                     89,                0.99272,                  3.242,                0.96087,                0.45309,                0.00457,                0.00154,                0.00081,                 1.3031,                 5.8875,                 1.1625,             6.1206e-06,             6.1206e-06,             6.1206e-06
                     90,                0.75476,                 3.3824,                0.91865,                  0.467,                0.00457,                 0.0015,                0.00079,                 1.2947,                 5.8865,                 1.1638,             5.7143e-06,             5.7143e-06,             5.7143e-06
                     91,                0.86072,                 3.5805,                0.94958,                0.45333,                0.00457,                0.00123,                0.00059,                 1.2899,                 5.8799,                  1.157,             5.2974e-06,             5.2974e-06,             5.2974e-06
                     92,                0.84485,                 3.6692,                0.91558,                0.45328,                0.00457,                 0.0012,                0.00054,                 1.2904,                 5.8732,                 1.1559,             4.8698e-06,             4.8698e-06,             4.8698e-06
                     93,                0.96824,                 3.7031,                0.94083,                 0.4672,                0.00457,                0.00129,                 0.0006,                 1.2814,                 5.8655,                 1.1493,             4.4315e-06,             4.4315e-06,             4.4315e-06
                     94,                0.84062,                 3.5872,                0.93326,                0.49463,                0.00457,                 0.0013,                 0.0006,                 1.2765,                 5.8586,                  1.145,             3.9824e-06,             3.9824e-06,             3.9824e-06
                     95,                0.89705,                 3.4808,                0.88267,                 0.4946,                0.00457,                 0.0014,                0.00063,                 1.2725,                  5.854,                 1.1405,             3.5227e-06,             3.5227e-06,             3.5227e-06
                     96,                  0.979,                 3.6934,                0.94302,                0.45339,                0.00457,                0.00123,                0.00055,                 1.2688,                 5.8489,                 1.1376,             3.0524e-06,             3.0524e-06,             3.0524e-06
                     97,                0.91737,                 3.8467,                0.92804,                0.42585,                0.00457,                0.00128,                0.00056,                 1.2628,                 5.8507,                 1.1359,             2.5713e-06,             2.5713e-06,             2.5713e-06
                     98,                0.76273,                  3.182,                0.94987,                0.43961,                0.00457,                0.00128,                0.00056,                 1.2622,                 5.8477,                 1.1325,             2.0795e-06,             2.0795e-06,             2.0795e-06
                     99,                0.84399,                 3.7106,                0.89884,                0.46704,                0.00457,                0.00137,                0.00062,                 1.2679,                 5.8501,                 1.1316,              1.577e-06,              1.577e-06,              1.577e-06
                    100,                0.89693,                  3.564,                0.96195,                  0.467,                0.00457,                0.00137,                0.00062,                 1.2677,                 5.8524,                 1.1287,             1.0639e-06,             1.0639e-06,             1.0639e-06
